sku,title,description,category,material,origin_district,price_rwf,artisan_id,is_local
RW-APP-0001,handmade traditional polyester robe,Handmade handmade polyester apparel made from Rusizi by artisans in polyester. Perfect for casual and formal wear.,apparel,polyester,Rusizi,17990,ART-754,True
RW-JEW-0002,artisan beads anklet,"Elegant artisan beads jewellery piece, handcrafted by Nyarugenge artisans from beads.",jewellery,beads,Nyarugenge,48903,ART-214,True
RW-JEW-0003,traditional silver earrings,"Elegant traditional silver jewellery piece, handcrafted by Rusizi artisans from silver.",jewellery,silver,Rusizi,42788,ART-125,True
RW-LEA-0004,modern genuine-leather leather belt,"Premium modern genuine-leather leather product, handcrafted in Kicukiro using traditional techniques.",leather,genuine-leather,Kicukiro,56851,ART-859,True
RW-BAS-0005,modern banana-fibre storage basket,Beautiful modern banana-fibre basket handwoven by skilled artisans in Huye using banana-fibre.,basketry,banana-fibre,Huye,5026,ART-381,True
RW-APP-0006,artisan silk apparel shirt,Handmade artisan silk apparel made from Nyagatare by artisans in silk. Perfect for casual and formal wear.,apparel,silk,Nyagatare,23949,ART-350,True
RW-JEW-0007,artisan beads ring set,"Elegant artisan beads jewellery piece, handcrafted by Nyamirambo artisans from beads.",jewellery,beads,Nyamirambo,25055,ART-328,True
RW-JEW-0008,handmade beads earrings,"Elegant handmade beads jewellery piece, handcrafted by Rusizi artisans from beads.",jewellery,beads,Rusizi,26002,ART-242,True
RW-BAS-0009,premium raffia gift basket,Beautiful premium raffia basket handwoven by skilled artisans in Kicukiro using raffia.,basketry,raffia,Kicukiro,23295,ART-854,True
RW-HOM-0010,traditional clay vase,"Unique traditional clay home decor item, handmade in Huye with clay.",home-decor,clay,Huye,21077,ART-204,True
RW-JEW-0011,premium silver earrings,"Elegant premium silver jewellery piece, handcrafted by Kicukiro artisans from silver.",jewellery,silver,Kicukiro,35891,ART-792,True
RW-LEA-0012,modern sheepskin leather bag,"Premium modern sheepskin leather product, handcrafted in Musanze using traditional techniques.",leather,sheepskin,Musanze,43414,ART-858,True
RW-JEW-0013,traditional beads ring set,"Elegant traditional beads jewellery piece, handcrafted by Rusizi artisans from beads.",jewellery,beads,Rusizi,39552,ART-658,True
RW-HOM-0014,artisan clay candle holder,"Unique artisan clay home decor item, handmade in Nyagatare with clay.",home-decor,clay,Nyagatare,17956,ART-189,True
RW-JEW-0015,artisan bone necklace,"Elegant artisan bone jewellery piece, handcrafted by Kicukiro artisans from bone.",jewellery,bone,Kicukiro,41220,ART-704,True
RW-JEW-0016,artisan wood bracelet,"Elegant artisan wood jewellery piece, handcrafted by Rusizi artisans from wood.",jewellery,wood,Rusizi,36732,ART-532,True
RW-BAS-0017,premium banana-fibre basket,Beautiful premium banana-fibre basket handwoven by skilled artisans in Huye using banana-fibre.,basketry,banana-fibre,Huye,3819,ART-132,True
RW-APP-0018,traditional traditional polyester robe,Handmade traditional polyester apparel made from Huye by artisans in polyester. Perfect for casual and formal wear.,apparel,polyester,Huye,19132,ART-130,True
RW-APP-0019,handmade linen trousers,Handmade handmade linen apparel made from Rusizi by artisans in linen. Perfect for casual and formal wear.,apparel,linen,Rusizi,21961,ART-195,True
RW-BAS-0020,traditional papyrus woven bowl,Beautiful traditional papyrus basket handwoven by skilled artisans in Rusizi using papyrus.,basketry,papyrus,Rusizi,3677,ART-323,True
RW-HOM-0021,handmade clay throw pillow,"Unique handmade clay home decor item, handmade in Nyarugenge with clay.",home-decor,clay,Nyarugenge,44721,ART-338,True
RW-LEA-0022,premium cowhide leather jacket,"Premium premium cowhide leather product, handcrafted in Nyagatare using traditional techniques.",leather,cowhide,Nyagatare,33289,ART-617,True
RW-BAS-0023,modern sisal gift basket,Beautiful modern sisal basket handwoven by skilled artisans in Rubavu using sisal.,basketry,sisal,Rubavu,14110,ART-716,True
RW-JEW-0024,handmade silver bracelet,"Elegant handmade silver jewellery piece, handcrafted by Huye artisans from silver.",jewellery,silver,Huye,41630,ART-127,True
RW-LEA-0025,artisan cowhide leather shoes,"Premium artisan cowhide leather product, handcrafted in Gasabo using traditional techniques.",leather,cowhide,Gasabo,65150,ART-674,True
RW-BAS-0026,handmade sisal wall decoration,Beautiful handmade sisal basket handwoven by skilled artisans in Rusizi using sisal.,basketry,sisal,Rusizi,14022,ART-303,True
RW-BAS-0027,premium banana-fibre woven bowl,Beautiful premium banana-fibre basket handwoven by skilled artisans in Rubavu using banana-fibre.,basketry,banana-fibre,Rubavu,6656,ART-833,True
RW-LEA-0028,handmade sheepskin leather jacket,"Premium handmade sheepskin leather product, handcrafted in Rubavu using traditional techniques.",leather,sheepskin,Rubavu,38517,ART-765,True
RW-LEA-0029,traditional goatskin leather jacket,"Premium traditional goatskin leather product, handcrafted in Kicukiro using traditional techniques.",leather,goatskin,Kicukiro,38807,ART-818,True
RW-JEW-0030,artisan brass bracelet,"Elegant artisan brass jewellery piece, handcrafted by Huye artisans from brass.",jewellery,brass,Huye,48612,ART-658,True
RW-LEA-0031,handmade genuine-leather leather wallet,"Premium handmade genuine-leather leather product, handcrafted in Rusizi using traditional techniques.",leather,genuine-leather,Rusizi,62899,ART-529,True
RW-APP-0032,premium silk jacket,Handmade premium silk apparel made from Huye by artisans in silk. Perfect for casual and formal wear.,apparel,silk,Huye,18673,ART-325,True
RW-JEW-0033,traditional bone necklace,"Elegant traditional bone jewellery piece, handcrafted by Nyamirambo artisans from bone.",jewellery,bone,Nyamirambo,29610,ART-559,True
RW-HOM-0034,traditional fabric table mat,"Unique traditional fabric home decor item, handmade in Gasabo with fabric.",home-decor,fabric,Gasabo,34339,ART-703,True
RW-LEA-0035,artisan cowhide leather shoes,"Premium artisan cowhide leather product, handcrafted in Rubavu using traditional techniques.",leather,cowhide,Rubavu,21155,ART-384,True
RW-APP-0036,traditional linen apparel shirt,Handmade traditional linen apparel made from Rusizi by artisans in linen. Perfect for casual and formal wear.,apparel,linen,Rusizi,6248,ART-928,True
RW-APP-0037,handmade polyester apparel shirt,Handmade handmade polyester apparel made from Nyamirambo by artisans in polyester. Perfect for casual and formal wear.,apparel,polyester,Nyamirambo,25331,ART-990,True
RW-BAS-0038,traditional sisal wall decoration,Beautiful traditional sisal basket handwoven by skilled artisans in Rusizi using sisal.,basketry,sisal,Rusizi,23352,ART-106,True
RW-BAS-0039,handmade raffia basket,Beautiful handmade raffia basket handwoven by skilled artisans in Nyamirambo using raffia.,basketry,raffia,Nyamirambo,9484,ART-877,True
RW-HOM-0040,handmade metal vase,"Unique handmade metal home decor item, handmade in Huye with metal.",home-decor,metal,Huye,36743,ART-925,True
RW-LEA-0041,handmade sheepskin leather jacket,"Premium handmade sheepskin leather product, handcrafted in Huye using traditional techniques.",leather,sheepskin,Huye,43675,ART-263,True
RW-BAS-0042,premium banana-fibre wall decoration,Beautiful premium banana-fibre basket handwoven by skilled artisans in Musanze using banana-fibre.,basketry,banana-fibre,Musanze,8873,ART-814,True
RW-BAS-0043,premium bamboo basket,Beautiful premium bamboo basket handwoven by skilled artisans in Musanze using bamboo.,basketry,bamboo,Musanze,9260,ART-532,True
RW-HOM-0044,traditional stone candle holder,"Unique traditional stone home decor item, handmade in Gasabo with stone.",home-decor,stone,Gasabo,12329,ART-448,True
RW-LEA-0045,premium sheepskin leather wallet,"Premium premium sheepskin leather product, handcrafted in Kicukiro using traditional techniques.",leather,sheepskin,Kicukiro,22726,ART-384,True
RW-JEW-0046,handmade wood bracelet,"Elegant handmade wood jewellery piece, handcrafted by Rusizi artisans from wood.",jewellery,wood,Rusizi,39589,ART-259,True
RW-JEW-0047,handmade bone necklace,"Elegant handmade bone jewellery piece, handcrafted by Gisenyi artisans from bone.",jewellery,bone,Gisenyi,15640,ART-320,True
RW-BAS-0048,modern papyrus storage basket,Beautiful modern papyrus basket handwoven by skilled artisans in Musanze using papyrus.,basketry,papyrus,Musanze,21255,ART-881,True
RW-HOM-0049,artisan clay candle holder,"Unique artisan clay home decor item, handmade in Nyamirambo with clay.",home-decor,clay,Nyamirambo,31123,ART-444,True
RW-BAS-0050,handmade papyrus basket,Beautiful handmade papyrus basket handwoven by skilled artisans in Gisenyi using papyrus.,basketry,papyrus,Gisenyi,23592,ART-204,True
RW-BAS-0051,handmade papyrus wall decoration,Beautiful handmade papyrus basket handwoven by skilled artisans in Gasabo using papyrus.,basketry,papyrus,Gasabo,24326,ART-194,True
RW-HOM-0052,modern fabric candle holder,"Unique modern fabric home decor item, handmade in Gasabo with fabric.",home-decor,fabric,Gasabo,40850,ART-489,True
RW-APP-0053,premium linen jacket,Handmade premium linen apparel made from Musanze by artisans in linen. Perfect for casual and formal wear.,apparel,linen,Musanze,5663,ART-199,True
RW-JEW-0054,artisan brass anklet,"Elegant artisan brass jewellery piece, handcrafted by Huye artisans from brass.",jewellery,brass,Huye,9251,ART-467,True
RW-LEA-0055,handmade cowhide leather wallet,"Premium handmade cowhide leather product, handcrafted in Nyarugenge using traditional techniques.",leather,cowhide,Nyarugenge,76602,ART-967,True
RW-APP-0056,handmade silk jacket,Handmade handmade silk apparel made from Gasabo by artisans in silk. Perfect for casual and formal wear.,apparel,silk,Gasabo,9598,ART-452,True
RW-LEA-0057,premium sheepskin leather bag,"Premium premium sheepskin leather product, handcrafted in Musanze using traditional techniques.",leather,sheepskin,Musanze,17911,ART-718,True
RW-LEA-0058,traditional genuine-leather leather belt,"Premium traditional genuine-leather leather product, handcrafted in Gisenyi using traditional techniques.",leather,genuine-leather,Gisenyi,78168,ART-370,True
RW-BAS-0059,premium bamboo woven bowl,Beautiful premium bamboo basket handwoven by skilled artisans in Kicukiro using bamboo.,basketry,bamboo,Kicukiro,6834,ART-926,True
RW-APP-0060,traditional polyester dress,Handmade traditional polyester apparel made from Gasabo by artisans in polyester. Perfect for casual and formal wear.,apparel,polyester,Gasabo,8654,ART-144,True
RW-HOM-0061,modern fabric vase,"Unique modern fabric home decor item, handmade in Rubavu with fabric.",home-decor,fabric,Rubavu,22847,ART-847,True
RW-HOM-0062,handmade fabric throw pillow,"Unique handmade fabric home decor item, handmade in Gasabo with fabric.",home-decor,fabric,Gasabo,35081,ART-570,True
RW-BAS-0063,modern banana-fibre woven bowl,Beautiful modern banana-fibre basket handwoven by skilled artisans in Kicukiro using banana-fibre.,basketry,banana-fibre,Kicukiro,4779,ART-649,True
RW-LEA-0064,modern goatskin leather wallet,"Premium modern goatskin leather product, handcrafted in Kicukiro using traditional techniques.",leather,goatskin,Kicukiro,58086,ART-227,True
RW-BAS-0065,traditional bamboo basket,Beautiful traditional bamboo basket handwoven by skilled artisans in Nyarugenge using bamboo.,basketry,bamboo,Nyarugenge,13981,ART-487,True
RW-BAS-0066,handmade raffia gift basket,Beautiful handmade raffia basket handwoven by skilled artisans in Kicukiro using raffia.,basketry,raffia,Kicukiro,5329,ART-180,True
RW-JEW-0067,handmade beads earrings,"Elegant handmade beads jewellery piece, handcrafted by Huye artisans from beads.",jewellery,beads,Huye,12468,ART-665,True
RW-HOM-0068,artisan stone table mat,"Unique artisan stone home decor item, handmade in Rusizi with stone.",home-decor,stone,Rusizi,24760,ART-400,True
RW-HOM-0069,premium fabric throw pillow,"Unique premium fabric home decor item, handmade in Gasabo with fabric.",home-decor,fabric,Gasabo,17941,ART-949,True
RW-JEW-0070,artisan brass anklet,"Elegant artisan brass jewellery piece, handcrafted by Huye artisans from brass.",jewellery,brass,Huye,28884,ART-743,True
RW-HOM-0071,handmade fabric wall art,"Unique handmade fabric home decor item, handmade in Nyagatare with fabric.",home-decor,fabric,Nyagatare,18014,ART-733,True
RW-LEA-0072,modern goatskin leather jacket,"Premium modern goatskin leather product, handcrafted in Gisenyi using traditional techniques.",leather,goatskin,Gisenyi,57375,ART-982,True
RW-LEA-0073,modern sheepskin leather wallet,"Premium modern sheepskin leather product, handcrafted in Huye using traditional techniques.",leather,sheepskin,Huye,32464,ART-470,True
RW-JEW-0074,handmade bone ring set,"Elegant handmade bone jewellery piece, handcrafted by Nyagatare artisans from bone.",jewellery,bone,Nyagatare,9737,ART-691,True
RW-BAS-0075,premium papyrus wall decoration,Beautiful premium papyrus basket handwoven by skilled artisans in Musanze using papyrus.,basketry,papyrus,Musanze,7230,ART-296,True
RW-LEA-0076,handmade cowhide leather belt,"Premium handmade cowhide leather product, handcrafted in Gisenyi using traditional techniques.",leather,cowhide,Gisenyi,74863,ART-821,True
RW-APP-0077,traditional linen apparel shirt,Handmade traditional linen apparel made from Nyarugenge by artisans in linen. Perfect for casual and formal wear.,apparel,linen,Nyarugenge,18669,ART-171,True
RW-APP-0078,handmade traditional cotton robe,Handmade handmade cotton apparel made from Rusizi by artisans in cotton. Perfect for casual and formal wear.,apparel,cotton,Rusizi,10239,ART-146,True
RW-BAS-0079,modern banana-fibre woven bowl,Beautiful modern banana-fibre basket handwoven by skilled artisans in Musanze using banana-fibre.,basketry,banana-fibre,Musanze,20668,ART-777,True
RW-LEA-0080,modern sheepskin leather shoes,"Premium modern sheepskin leather product, handcrafted in Gisenyi using traditional techniques.",leather,sheepskin,Gisenyi,71875,ART-333,True
RW-BAS-0081,premium banana-fibre woven bowl,Beautiful premium banana-fibre basket handwoven by skilled artisans in Gasabo using banana-fibre.,basketry,banana-fibre,Gasabo,22560,ART-891,True
RW-LEA-0082,handmade sheepskin leather wallet,"Premium handmade sheepskin leather product, handcrafted in Rubavu using traditional techniques.",leather,sheepskin,Rubavu,42057,ART-396,True
RW-APP-0083,handmade silk apparel shirt,Handmade handmade silk apparel made from Nyamirambo by artisans in silk. Perfect for casual and formal wear.,apparel,silk,Nyamirambo,31806,ART-181,True
RW-HOM-0084,handmade wood table mat,"Unique handmade wood home decor item, handmade in Kicukiro with wood.",home-decor,wood,Kicukiro,42143,ART-975,True
RW-HOM-0085,premium stone throw pillow,"Unique premium stone home decor item, handmade in Nyagatare with stone.",home-decor,stone,Nyagatare,16115,ART-338,True
RW-HOM-0086,artisan fabric table mat,"Unique artisan fabric home decor item, handmade in Musanze with fabric.",home-decor,fabric,Musanze,31414,ART-987,True
RW-JEW-0087,modern bone earrings,"Elegant modern bone jewellery piece, handcrafted by Kicukiro artisans from bone.",jewellery,bone,Kicukiro,19538,ART-203,True
RW-HOM-0088,artisan metal table mat,"Unique artisan metal home decor item, handmade in Nyagatare with metal.",home-decor,metal,Nyagatare,21633,ART-489,True
RW-LEA-0089,handmade cowhide leather belt,"Premium handmade cowhide leather product, handcrafted in Nyarugenge using traditional techniques.",leather,cowhide,Nyarugenge,43185,ART-384,True
RW-BAS-0090,premium papyrus storage basket,Beautiful premium papyrus basket handwoven by skilled artisans in Rubavu using papyrus.,basketry,papyrus,Rubavu,11085,ART-564,True
RW-JEW-0091,premium silver anklet,"Elegant premium silver jewellery piece, handcrafted by Nyamirambo artisans from silver.",jewellery,silver,Nyamirambo,13231,ART-750,True
RW-LEA-0092,traditional genuine-leather leather jacket,"Premium traditional genuine-leather leather product, handcrafted in Rusizi using traditional techniques.",leather,genuine-leather,Rusizi,74562,ART-954,True
RW-JEW-0093,traditional silver ring set,"Elegant traditional silver jewellery piece, handcrafted by Nyamirambo artisans from silver.",jewellery,silver,Nyamirambo,48222,ART-473,True
RW-JEW-0094,artisan bone anklet,"Elegant artisan bone jewellery piece, handcrafted by Nyarugenge artisans from bone.",jewellery,bone,Nyarugenge,28972,ART-266,True
RW-APP-0095,traditional cotton dress,Handmade traditional cotton apparel made from Nyarugenge by artisans in cotton. Perfect for casual and formal wear.,apparel,cotton,Nyarugenge,6054,ART-479,True
RW-JEW-0096,artisan bone ring set,"Elegant artisan bone jewellery piece, handcrafted by Musanze artisans from bone.",jewellery,bone,Musanze,10944,ART-463,True
RW-JEW-0097,traditional wood necklace,"Elegant traditional wood jewellery piece, handcrafted by Gasabo artisans from wood.",jewellery,wood,Gasabo,31135,ART-314,True
RW-HOM-0098,modern wood vase,"Unique modern wood home decor item, handmade in Rusizi with wood.",home-decor,wood,Rusizi,43437,ART-786,True
RW-BAS-0099,modern banana-fibre gift basket,Beautiful modern banana-fibre basket handwoven by skilled artisans in Musanze using banana-fibre.,basketry,banana-fibre,Musanze,24926,ART-373,True
RW-HOM-0100,handmade clay vase,"Unique handmade clay home decor item, handmade in Gasabo with clay.",home-decor,clay,Gasabo,29422,ART-818,True
RW-BAS-0101,handmade sisal storage basket,Beautiful handmade sisal basket handwoven by skilled artisans in Rubavu using sisal.,basketry,sisal,Rubavu,5845,ART-799,True
RW-BAS-0102,artisan banana-fibre gift basket,Beautiful artisan banana-fibre basket handwoven by skilled artisans in Huye using banana-fibre.,basketry,banana-fibre,Huye,14497,ART-763,True
RW-HOM-0103,handmade metal wall art,"Unique handmade metal home decor item, handmade in Rusizi with metal.",home-decor,metal,Rusizi,15956,ART-173,True
RW-HOM-0104,handmade wood table mat,"Unique handmade wood home decor item, handmade in Nyagatare with wood.",home-decor,wood,Nyagatare,11449,ART-723,True
RW-BAS-0105,premium raffia gift basket,Beautiful premium raffia basket handwoven by skilled artisans in Rubavu using raffia.,basketry,raffia,Rubavu,23275,ART-750,True
RW-JEW-0106,artisan brass ring set,"Elegant artisan brass jewellery piece, handcrafted by Rusizi artisans from brass.",jewellery,brass,Rusizi,45426,ART-275,True
RW-JEW-0107,premium wood bracelet,"Elegant premium wood jewellery piece, handcrafted by Nyarugenge artisans from wood.",jewellery,wood,Nyarugenge,28948,ART-646,True
RW-APP-0108,traditional cotton trousers,Handmade traditional cotton apparel made from Gisenyi by artisans in cotton. Perfect for casual and formal wear.,apparel,cotton,Gisenyi,33083,ART-846,True
RW-JEW-0109,modern beads earrings,"Elegant modern beads jewellery piece, handcrafted by Nyamirambo artisans from beads.",jewellery,beads,Nyamirambo,12919,ART-350,True
RW-HOM-0110,premium fabric vase,"Unique premium fabric home decor item, handmade in Nyamirambo with fabric.",home-decor,fabric,Nyamirambo,25216,ART-267,True
RW-JEW-0111,traditional beads ring set,"Elegant traditional beads jewellery piece, handcrafted by Gisenyi artisans from beads.",jewellery,beads,Gisenyi,43085,ART-573,True
RW-APP-0112,handmade silk apparel shirt,Handmade handmade silk apparel made from Nyarugenge by artisans in silk. Perfect for casual and formal wear.,apparel,silk,Nyarugenge,24112,ART-488,True
RW-BAS-0113,handmade sisal basket,Beautiful handmade sisal basket handwoven by skilled artisans in Musanze using sisal.,basketry,sisal,Musanze,14979,ART-376,True
RW-BAS-0114,traditional bamboo wall decoration,Beautiful traditional bamboo basket handwoven by skilled artisans in Rusizi using bamboo.,basketry,bamboo,Rusizi,9497,ART-755,True
RW-LEA-0115,artisan cowhide leather jacket,"Premium artisan cowhide leather product, handcrafted in Huye using traditional techniques.",leather,cowhide,Huye,48511,ART-804,True
RW-JEW-0116,modern beads necklace,"Elegant modern beads jewellery piece, handcrafted by Musanze artisans from beads.",jewellery,beads,Musanze,49866,ART-670,True
RW-JEW-0117,artisan wood necklace,"Elegant artisan wood jewellery piece, handcrafted by Nyarugenge artisans from wood.",jewellery,wood,Nyarugenge,6944,ART-324,True
RW-HOM-0118,handmade fabric table mat,"Unique handmade fabric home decor item, handmade in Gasabo with fabric.",home-decor,fabric,Gasabo,31704,ART-801,True
RW-JEW-0119,traditional bone bracelet,"Elegant traditional bone jewellery piece, handcrafted by Nyagatare artisans from bone.",jewellery,bone,Nyagatare,16066,ART-432,True
RW-APP-0120,modern polyester apparel shirt,Handmade modern polyester apparel made from Nyagatare by artisans in polyester. Perfect for casual and formal wear.,apparel,polyester,Nyagatare,10946,ART-963,True
RW-LEA-0121,handmade genuine-leather leather bag,"Premium handmade genuine-leather leather product, handcrafted in Rubavu using traditional techniques.",leather,genuine-leather,Rubavu,15355,ART-886,True
RW-APP-0122,premium traditional polyester robe,Handmade premium polyester apparel made from Nyagatare by artisans in polyester. Perfect for casual and formal wear.,apparel,polyester,Nyagatare,29044,ART-894,True
